City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Lakes Entrance,-37.8811,147.981,44.01,96,9,8.93,AU,1619469149
Lebu,-37.6167,-73.65,59.0,73,2,12.57,CL,1619468889
Mataura,-46.1927,168.8643,39.99,89,100,1.01,NZ,1619468783
Punta Arenas,-53.15,-70.9167,44.6,100,90,10.36,CL,1619468682
Moundsville,39.9203,-80.7431,66.99,31,1,3.04,US,1619469151
Thompson,55.7435,-97.8558,46.4,49,75,12.66,CA,1619468793
Chui,-33.6971,-53.4616,64.26,57,20,10.89,UY,1619468832
Kapaa,22.0752,-159.319,77.0,73,1,12.66,US,1619468787
New Norfolk,-42.7826,147.0587,46.0,85,11,2.8,AU,1619468805
Airai,-8.9266,125.4092,55.58,75,98,1.28,TL,1619468811
Severo-Kuril'sk,50.6789,156.125,30.49,94,100,23.8,RU,1619468860
Zaysan,47.4667,84.8667,44.98,42,93,5.55,KZ,1619468865
Vaini,-21.2,-175.2,75.2,94,75,4.61,TO,1619468615
Flin Flon,54.7682,-101.865,53.6,26,20,16.11,CA,1619468946
Norman Wells,65.282,-126.8329,15.8,41,75,5.75,CA,1619468844
Nome,64.5011,-165.4064,39.2,70,1,3.44,US,1619469156
Iqaluit,63.7506,-68.5145,30.2,80,75,26.46,CA,1619468890
Ossora,59.2353,163.0719,31.75,95,100,3.24,RU,1619469157
Nanortalik,60.1432,-45.2371,34.93,99,100,5.19,GL,1619468969
Alta Floresta,-9.8756,-56.0861,82.4,74,75,3.44,BR,1619469159
Bluff,-46.6,168.3333,39.99,89,54,1.01,NZ,1619468806
George Town,5.4112,100.3354,80.6,83,20,4.83,MY,1619468691
Ushuaia,-54.8,-68.3,44.6,81,90,3.44,AR,1619468778
Qaanaaq,77.484,-69.3632,38.7,71,85,7.36,GL,1619468729
Hobart,-42.8794,147.3294,46.0,87,20,6.02,AU,1619468698
Virginia Beach,36.8529,-75.978,69.8,28,1,9.22,US,1619469150
Bethel,41.3712,-73.414,59.0,24,1,10.36,US,1619468830
Yellowknife,62.456,-114.3525,8.01,51,20,13.8,CA,1619468738
Bambanglipuro,-7.95,110.2833,75.06,85,8,4.25,ID,1619469162
Ribeira Grande,38.5167,-28.7,60.8,77,40,3.51,PT,1619468708
Chaihe,44.7667,129.7,44.2,58,100,3.56,CN,1619469163
Vestmannaeyjar,63.4427,-20.2734,45.81,86,5,10.04,IS,1619468733
East London,-33.0153,27.9116,72.12,60,100,10.09,ZA,1619468818
Port Elizabeth,-33.918,25.5701,64.4,88,90,9.22,ZA,1619468678
Guerrero Negro,27.9769,-114.0611,66.52,52,96,14.67,MX,1619468796
Barra de Tecoanapa,16.5167,-98.75,88.0,55,23,12.97,MX,1619469166
Eyl,7.9803,49.8164,83.55,71,95,4.88,SO,1619469167
Mahanoro,-19.9,48.8,72.5,93,100,3.8,MG,1619469167
Barrow,71.2906,-156.7887,17.6,73,1,17.27,US,1619468605
Maromitsa,59.8683,48.0123,35.08,97,100,8.63,RU,1619469168
Cabo San Lucas,22.8909,-109.9124,80.01,36,75,9.22,MX,1619468691
Ostrovnoy,68.0531,39.5131,30.13,76,100,18.16,RU,1619468814
Torbay,47.6666,-52.7314,44.01,65,90,18.41,CA,1619468792
High Rock,26.6208,-78.2833,80.6,57,40,14.97,BS,1619469170
